zipcode,pop_0_5,pop_5_12,pop_0_12,avg_income,employment_rate,total_existing_slots,num_existing_facilities,high_demand,desert_threshold,age_0_5_requirement,is_desert,current_coverage_ratio
10302,1338.0,1986.0,3324.0,57217.51412429378,0.4766521247374374,744.0,19.0,1,1662.0,892.0,1,0.22382671480144403
10303,1262.0,3043.0,4305.0,52778.861154446175,0.4733596721190414,1629.0,50.0,1,2152.5,841.3333333333333,1,0.378397212543554
10304,2234.0,4696.0,6930.0,61216.41074856045,0.4645149786019971,2004.0,41.0,0,2286.9,1489.3333333333333,1,0.2891774891774892
10305,1653.0,3609.0,5262.0,64277.19465648855,0.496553031200398,786.0,20.0,0,1736.46,1102.0,1,0.14937286202964653
10306,2606.0,5322.0,7928.0,73657.31115731115,0.5132309005548442,578.0,15.0,0,2616.2400000000002,1737.3333333333333,1,0.07290615539858729
10307,1098.0,1108.0,2206.0,86900.43604651163,0.4662826160623517,259.0,3.0,0,727.98,732.0,1,0.11740707162284678
10308,1106.0,2783.0,3889.0,81452.4647887324,0.4721529509559434,431.0,6.0,0,1283.3700000000001,737.3333333333333,1,0.1108254049884289
10309,1936.0,3440.0,5376.0,85576.92307692306,0.4602763385146804,297.0,5.0,0,1774.0800000000002,1290.6666666666665,1,0.05524553571428571
10310,2167.0,2592.0,4759.0,67453.42929720576,0.4500933724608407,1168.0,27.0,0,1570.47,1444.6666666666665,1,0.24542971212439588
10312,3668.0,6419.0,10087.0,83484.34925864909,0.4781560663589242,1140.0,16.0,0,3328.71,2445.333333333333,1,0.11301675423812828
10314,5269.0,9195.0,14464.0,74144.03778040141,0.448836839595146,1638.0,21.0,0,4773.12,3512.6666666666665,1,0.11324668141592921
10451,3494.0,5745.0,9239.0,40553.319919517104,0.4843016117401726,3251.0,110.0,1,4619.5,2329.333333333333,1,0.35187790886459575
10452,5461.0,9980.0,15441.0,35306.24661979448,0.4703398453398453,6853.0,277.0,1,7720.5,3640.6666666666665,1,0.4438184055436824
10453,5476.0,10180.0,15656.0,34474.69021882415,0.4718542016545375,6825.0,277.0,1,7828.0,3650.6666666666665,1,0.4359351047521717
10454,2870.0,5067.0,7937.0,35661.76470588235,0.389063374966523,3163.0,71.0,1,3968.5,1913.3333333333333,1,0.3985132921758851
10455,2507.0,5986.0,8493.0,35785.48644338118,0.4238395673726904,3023.0,110.0,1,4246.5,1671.3333333333333,1,0.3559401860355587
10456,6718.0,10304.0,17022.0,34503.467062902426,0.4558848433530906,6823.0,230.0,1,8511.0,4478.666666666666,1,0.4008342145458818
10457,6785.0,10481.0,17266.0,34633.56973995271,0.4239698309883859,6559.0,249.0,1,8633.0,4523.333333333333,1,0.37987953202826363
10458,5585.0,10031.0,15616.0,35868.3314415437,0.4262318875638017,4641.0,225.0,1,7808.0,3723.333333333333,1,0.2971951844262295
10459,3973.0,5889.0,9862.0,36056.161891768985,0.4231775844815642,3990.0,133.0,1,4931.0,2648.6666666666665,1,0.40458324883390795
10460,3983.0,6831.0,10814.0,36095.55804404629,0.4476040900888859,4792.0,164.0,1,5407.0,2655.333333333333,1,0.4431292768633253
10461,2750.0,5170.0,7920.0,57890.49919484702,0.4883227176220807,1462.0,42.0,1,3960.0,1833.3333333333333,1,0.1845959595959596
10462,5581.0,7782.0,13363.0,49331.55080213904,0.508481160170918,3425.0,115.0,1,6681.5,3720.6666666666665,1,0.2563047219935643
10463,4453.0,6236.0,10689.0,65918.80341880342,0.4826732673267326,4249.0,118.0,0,3527.3700000000003,2968.6666666666665,0,0.3975114603798297
10464,75.0,444.0,519.0,84418.6046511628,0.5009319664492078,114.0,3.0,0,171.27,50.0,1,0.21965317919075145
10465,3268.0,3938.0,7206.0,67554.12890231621,0.4288398004793677,1888.0,62.0,0,2377.98,2178.6666666666665,1,0.26200388565084654
10466,4393.0,7568.0,11961.0,47724.43890274314,0.4438725388457654,3168.0,125.0,1,5980.5,2928.6666666666665,1,0.26486079759217457
10467,6341.0,10743.0,17084.0,42034.178610804855,0.459412640685624,6142.0,209.0,1,8542.0,4227.333333333333,1,0.3595176773589323
10468,6671.0,8981.0,15652.0,37413.79310344827,0.445348108652653,4220.0,225.0,1,7826.0,4447.333333333333,1,0.26961410682340914
10469,4483.0,6498.0,10981.0,53108.54753793744,0.4493334446578164,2285.0,92.0,1,5490.5,2988.6666666666665,1,0.2080866952008014
10470,1311.0,843.0,2154.0,58968.83289124668,0.4899285250162443,632.0,19.0,1,1077.0,874.0,1,0.2934076137418756
10471,1015.0,1493.0,2508.0,91633.16582914571,0.4347256204124432,284.0,10.0,0,827.64,676.6666666666666,1,0.11323763955342903
10472,5321.0,7069.0,12390.0,37918.66028708134,0.4482024416770063,3577.0,135.0,1,6195.0,3547.333333333333,1,0.2887005649717514
10473,3742.0,5959.0,9701.0,46564.81808548216,0.4711501655932231,3534.0,90.0,1,4850.5,2494.6666666666665,1,0.3642923409957736
10474,1001.0,1600.0,2601.0,35229.54091816367,0.4441489361702128,1194.0,23.0,1,1300.5,667.3333333333333,1,0.4590542099192618
10475,3115.0,3341.0,6456.0,56136.16170590848,0.5172691132201209,1808.0,23.0,1,3228.0,2076.6666666666665,1,0.28004956629491945
10501,16.0,111.0,127.0,105178.57142857142,0.4943502824858757,0.0,0.0,0,41.910000000000004,10.666666666666666,1,0.0
10502,322.0,685.0,1007.0,120470.38327526132,0.4995648389904265,273.0,4.0,0,332.31,214.66666666666666,1,0.2711022840119166
10504,521.0,951.0,1472.0,128945.70707070708,0.4921088604448863,706.0,6.0,0,485.76000000000005,347.3333333333333,0,0.4796195652173913
10505,44.0,120.0,164.0,92225.60975609758,0.7243816254416962,0.0,0.0,1,82.0,29.333333333333332,1,0.0
10506,316.0,831.0,1147.0,126241.13475177305,0.444794952681388,56.0,2.0,0,378.51,210.66666666666666,1,0.04882301656495205
10507,425.0,637.0,1062.0,85787.03703703704,0.4216773387474621,220.0,3.0,0,350.46000000000004,283.3333333333333,1,0.2071563088512241
10509,1103.0,1838.0,2941.0,84375.0,0.5163372327551432,1007.0,10.0,0,970.5300000000001,735.3333333333333,0,0.342400544032642
10510,375.0,1055.0,1430.0,124123.246492986,0.4781983708672736,704.0,8.0,0,471.90000000000003,250.0,0,0.49230769230769234
10511,119.0,183.0,302.0,82944.91525423728,0.5173169662428759,72.0,3.0,0,99.66000000000001,79.33333333333333,1,0.23841059602649006
10512,1127.0,1775.0,2902.0,85317.00835231587,0.5429584432717678,182.0,7.0,0,957.6600000000001,751.3333333333333,1,0.06271536871123363
10514,732.0,1690.0,2422.0,136587.5912408759,0.4258957021838812,585.0,7.0,0,799.26,488.0,1,0.24153592072667218
10516,283.0,434.0,717.0,99500.0,0.4923903312444047,163.0,4.0,0,236.61,188.66666666666666,1,0.22733612273361228
10518,11.0,40.0,51.0,113556.338028169,0.8554216867469879,0.0,0.0,1,25.5,7.333333333333333,1,0.0
10520,618.0,1249.0,1867.0,103052.55023183924,0.5109777286368662,787.0,8.0,0,616.11,412.0,0,0.42153186930905195
10522,592.0,1129.0,1721.0,107674.19962335218,0.4614181438998957,439.0,6.0,0,567.9300000000001,394.66666666666663,1,0.25508425334108076
