zipcode,H025_zip,H512_zip,total_capacity,facility_count
10605,1486.291396462967,636.708603537033,2123,23
10606,603.9712270300925,319.02877296990755,923,18
10607,226.89451598384704,118.10548401615294,345,7
10701,1075.9806503392876,1580.0193496607121,2656,73
10703,287.7485628321842,670.2514371678159,958,32
107032701,0.0,25.0,25,1
10704,143.7088319292599,476.29116807074007,620,23
10705,427.63943633378585,1322.3605636662141,1750,46
10706,322.0,308.0,630,8
10707,296.2696393115343,60.73036068846565,357,5
10708,93.0,40.0,133,2
107085916,0.0,60.0,60,1
10709,47.4109717994027,389.5890282005973,437,7
10710,40.26264377969738,716.7373562203027,757,16
10801,606.0471163482331,1417.9528836517668,2024,34
108014837,0.0,364.0,364,1
10803,559.0,101.0,660,9
10804,675.8476970091243,539.1523029908757,1215,19
10805,130.6313457283496,107.3686542716504,238,8
10901,327.86704571661863,645.1329542833814,973,12
10913,183.09284205762398,179.907157942376,363,6
10914,45.0,7.0,52,1
10916,1.3369007312052092,6.663099268794791,8,1
10917,58.40046953337482,116.59953046662518,175,5
10918,95.04882431072426,70.95117568927574,166,3
10919,0.0,100.0,100,1
10920,281.0403860972051,180.9596139027949,462,5
10921,125.0,57.0,182,3
10923,123.54245935696218,47.457540643037824,171,7
10924,343.4961407664162,91.5038592335838,435,8
10925,6.64608285039627,62.35391714960373,69,4
109263909,0.0,40.0,40,1
10927,321.86775225324817,297.13224774675183,619,13
10928,5.145122257808113,95.85487774219189,101,4
10930,62.15850866261121,29.84149133738878,92,4
10940,870.7165012195646,695.2834987804354,1566,31
10941,500.19537861093227,222.80462138906776,723,14
10950,527.3440057797818,185.65599422021822,713,19
10952,277.30153583431405,303.69846416568595,581,31
10954,161.32341516582994,790.6765848341701,952,13
10956,877.5512373508686,771.4487626491314,1649,28
10960,298.53919872475865,161.46080127524132,460,9
10962,3.6424388067741886,12.357561193225811,16,1
10963,53.653320786648045,70.34667921335196,124,5
10964,111.0,24.0,135,2
10965,398.9163102492584,216.08368975074157,615,11
10968,173.0,0.0,173,1
