batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_8,492886,11096,40.619892,-73.749402,6,17100.0
batch_8,647226,11096,40.618352,-73.74349,4,12866.666666666668
batch_8,865285,11096,40.61556,-73.755217,3,12066.666666666668
batch_8,483017,12303,42.766448,-73.938461,39,66759.18367346938
batch_8,42591,12303,42.745886,-73.940671,28,49600.0
batch_8,825762,12303,42.776564,-73.933767,28,49600.0
batch_8,153758,12303,42.72293,-73.936175,24,43400.0
batch_8,709334,12303,42.728094,-73.939078,17,33327.27272727273
batch_8,40212,12303,42.773762,-73.93542,17,33327.27272727273
batch_8,891846,12303,42.760519,-73.933025,14,29177.777777777777
batch_8,659830,12303,42.796999,-73.945256,6,17100.0
batch_8,881986,12303,42.801449,-73.94699,6,17100.0
batch_8,906672,12303,42.796447,-73.944625,6,17100.0
batch_8,906448,12303,42.798648,-73.945515,6,17100.0
batch_8,354484,12303,42.761641,-73.918548,6,17100.0
batch_8,881037,12303,42.795726,-73.94491,6,17100.0
batch_8,885421,12303,42.794413,-73.949068,6,17100.0
batch_8,883597,12303,42.795529,-73.946886,6,17100.0
batch_8,888656,12303,42.78645,-73.943559,6,17100.0
batch_8,151122,12303,42.773485,-73.943413,3,12900.0
batch_8,775169,12303,42.79656,-73.934939,3,12900.0
batch_8,454041,12303,42.79451,-73.941377,3,12900.0
batch_8,31450,12303,42.798363,-73.952806,3,12900.0
batch_8,875561,12303,42.764801,-73.944511,3,12900.0
batch_8,905803,12303,42.772243,-73.935483,3,12900.0
batch_8,894687,12303,42.722988,-73.925788,3,12900.0
batch_8,898976,12303,42.796772,-73.941504,3,12900.0
batch_8,912311,12303,42.795486,-73.936146,3,12900.0
batch_8,906289,12303,42.743077,-73.893942,3,12900.0
batch_8,918764,12303,42.79606,-73.953101,3,12900.0
batch_8,903037,12303,42.802276,-73.949834,3,12900.0
batch_8,886543,12303,42.77604,-73.932562,3,12900.0
batch_8,876449,12204,42.684396,-73.733206,12,26000.0
batch_8,711166,14608,43.165818,-77.632094,25,45212.5
batch_8,587573,14608,43.168115,-77.630638,23,43131.03448275862
batch_8,528350,14608,43.15666,-77.626222,22,41200.0
batch_8,897553,14608,43.141528,-77.621149,6,17100.0
batch_8,898372,14608,43.16173,-77.623985,6,17100.0
batch_8,898146,14608,43.141525,-77.621208,6,17100.0
batch_8,548625,14608,43.149977,-77.625216,6,17100.0
batch_8,895682,14608,43.168381,-77.627334,6,17100.0
batch_8,441477,14608,43.140307,-77.623915,5,14742.857142857141
batch_8,685853,14608,43.169497,-77.63578,3,12900.0
batch_8,787626,14608,43.159234,-77.628526,3,12900.0
batch_8,872309,14608,43.143835,-77.617619,3,12900.0
batch_8,819576,14608,43.172948,-77.630206,3,12900.0
batch_8,758322,14608,43.145738,-77.626622,3,12900.0
batch_8,850636,14608,43.141828,-77.625657,3,12900.0
batch_8,546973,14608,43.134963,-77.625595,3,12900.0
batch_8,874618,14608,43.150265,-77.626085,3,12900.0
batch_8,911807,14608,43.150608,-77.624396,3,12900.0
batch_8,44327,13669,44.697209,-75.476343,6,15658.823529411766
batch_8,873202,13669,44.598042,-75.592767,6,17100.0
batch_8,524336,13669,44.690793439660894,-75.47691045442339,6,17100.0
batch_8,736899,13669,44.639685,-75.469888,6,17100.0
batch_8,896755,13669,44.701857,-75.476641,6,17100.0
batch_8,19502,13669,44.693273,-75.479959,6,17100.0
batch_8,911899,13669,44.701854,-75.48598,6,17100.0
batch_8,810845,13669,44.641079,-75.433981,6,17100.0
batch_8,904473,13669,44.564986,-75.650359,6,17100.0
batch_8,827065,13669,44.686099,-75.499268,5,14742.857142857141
batch_8,796471,13669,44.534102,-75.654895,3,12900.0
batch_8,29224,13669,44.690793439660894,-75.47691045442339,3,12900.0
batch_8,414261,13669,44.68545,-75.49305,3,12900.0
batch_8,100969,13669,44.690793439660894,-75.47691045442339,3,12900.0
batch_8,260935,13669,44.657507,-75.497933,3,12900.0
batch_8,868976,13669,44.621784,-75.546053,3,12900.0
batch_8,256173,13669,44.69625,-75.4857,3,12900.0
batch_8,33523,13669,44.692151,-75.490278,3,12900.0
batch_8,714297,13669,44.696205,-75.484731,3,12900.0
batch_8,923644,13669,44.660089,-75.451278,3,12900.0
batch_8,895878,13669,44.690238,-75.501931,3,12900.0
batch_8,912669,13669,44.759795,-75.367852,3,12900.0
batch_8,789518,14303,43.088276,-79.029998,22,41200.0
batch_8,324538,14303,43.08787,-79.032714,12,26000.0
batch_8,221426,14303,43.08812,-79.02697,6,17100.0
batch_8,888179,14303,43.08667,-79.020885,4,14200.0
batch_8,921014,12306,42.779425,-74.02997,38,64716.66666666667
batch_8,258528,12306,42.798018,-73.964231,31,54848.101265822785
batch_8,734957,12306,42.796948,-73.966178,25,46336.50793650794
batch_8,750482,12306,42.789548,-73.980258,18,35600.0
batch_8,792013,12306,42.789867,-73.981281,17,33327.27272727273
batch_8,845346,12306,42.810086,-73.989957,17,33327.27272727273
batch_8,893899,12306,42.780104,-73.957875,12,26000.0
batch_8,901240,12306,42.796549,-73.963652,6,17100.0
batch_8,905465,12306,42.784881,-73.975791,6,17100.0
batch_8,903881,12306,42.789267,-73.966649,6,17100.0
batch_8,872114,12306,42.820649,-73.993563,6,17100.0
batch_8,806763,12306,42.794078,-73.994036,6,17100.0
batch_8,503302,12306,42.80985,-73.99387,6,17100.0
batch_8,827317,12306,42.789399,-73.964489,6,17100.0
batch_8,23036,12306,42.85809,-74.027587,3,12900.0
batch_8,20132,12306,42.78349,-74.008678,3,12900.0
batch_8,722963,12306,42.765631,-73.988868,3,12900.0
batch_8,820431,12306,42.792696,-73.971272,3,12900.0
batch_8,18594,12306,42.792791,-73.991765,3,12900.0
batch_8,236895,12306,42.788745,-73.988365,3,12900.0
batch_8,896138,12306,42.800654,-73.965635,3,12900.0
batch_8,910299,12306,42.797493,-73.961392,3,12900.0
batch_8,887108,12306,42.780186,-74.019649,3,12900.0
