batch,location_id,zipcode,latitude,longitude,size,added_slots,build_cost,equip_cost_0_5
batch_9,35591,11706,40.69665391429556,-73.23821321706028,large,400,115000.0,32000.0
batch_9,70862,12589,41.62296898621231,-74.1515751855782,large,400,115000.0,32000.0
batch_9,70806,12589,41.60669723344765,-74.15319194758702,small,100,65000.0,8000.0
batch_9,99325,13339,42.94696639437789,-74.64433568614947,large,400,115000.0,32000.0
batch_9,99393,13339,42.94093680462439,-74.65212943333105,small,100,65000.0,8000.0
batch_9,39480,11762,40.688430934608576,-73.43486420977062,large,400,115000.0,32000.0
batch_9,39425,11762,40.69045520581504,-73.43880439460526,medium,200,95000.0,16000.0
batch_9,70771,12586,41.56853530718216,-74.17893316670298,small,100,65000.0,8000.0
batch_9,70710,12586,41.550781452635576,-74.1853308799827,large,400,115000.0,32000.0
batch_9,108772,13642,44.33500001767349,-75.47418292299083,small,100,65000.0,8000.0
batch_9,108777,13642,44.33724590923657,-75.4710676643,large,400,115000.0,32000.0
batch_9,37372,11730,40.71844196205847,-73.18876389780839,large,400,115000.0,32000.0
batch_9,37320,11730,40.7186226906483,-73.17364467497734,small,100,65000.0,8000.0
batch_9,125052,14103,43.22701478274452,-78.37943658799118,small,100,65000.0,8000.0
batch_9,125078,14103,43.225521681099536,-78.37800840855054,large,400,115000.0,32000.0
batch_9,3324,10037,40.803503007621615,-73.94579943840785,large,400,115000.0,32000.0
batch_9,3372,10037,40.80445108586463,-73.92848095190158,small,100,65000.0,8000.0
batch_9,15613,10805,40.90795339941782,-73.77136026461265,large,400,115000.0,32000.0
batch_9,15670,10805,40.90869776311335,-73.7742121909335,large,400,115000.0,32000.0
batch_9,122168,14051,43.05283575580178,-78.69569476338883,small,100,65000.0,8000.0
batch_9,122192,14051,43.05281245747384,-78.70413122803868,large,400,115000.0,32000.0
batch_9,35770,11710,40.66339337963701,-73.54645160704307,small,100,65000.0,8000.0
batch_9,35782,11710,40.66389045386517,-73.54419533240245,large,400,115000.0,32000.0
batch_9,131801,14445,43.10989635594953,-77.4838816999611,large,400,115000.0,32000.0
batch_9,131802,14445,43.10632981946464,-77.48479225427211,small,100,65000.0,8000.0
batch_9,1194,10013,40.71008474051881,-74.01213653961447,small,100,65000.0,8000.0
batch_9,1164,10013,40.70946155642475,-74.00950447181428,large,400,115000.0,32000.0
